Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
QTR;QATAR AIRWAYS GROUP;8147;0;G;B77L;0;SCEL;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT - SANTIAGO - CHILE;21/01/2024 23:55;;SKBO;EL DORADO INTERNATIONAL AIRPORT - BOGOTÁ - COLÔMBIA;22/01/2024 05:25;;CANCELADO;;2024-01-20;;
QTR;QATAR AIRWAYS GROUP;8147;0;G;B77L;0;SKBO;EL DORADO INTERNATIONAL AIRPORT - BOGOTÁ - COLÔMBIA;22/01/2024 07:25;;KDFW;DALLAS-FORT WORTH INTERNATIONAL AIRPORT - DALLAS & FORT WORTH, TEXAS - ESTADOS UNIDOS DA AMÉRICA;22/01/2024 12:55;;CANCELADO;;2024-01-20;;
QTR;QATAR AIRWAYS GROUP;8148;0;G;B77L;0;MPTO;TOCUMEN INTL - PANAMA - PANAMÁ;20/01/2024 16:05;;EBLG;LIEGE AIRPORT - LIÈGE - BÉLGICA;21/01/2024 02:20;;CANCELADO;;2024-01-20;;
QTR;QATAR AIRWAYS GROUP;8148;0;G;B77L;0;EBLG;LIEGE AIRPORT - LIÈGE - BÉLGICA;21/01/2024 04:20;;OTHH;HAMAD INTERNATIONAL AIRPORT - DOHA - QATAR;21/01/2024 10:25;;CANCELADO;;2024-01-20;;
QTR;QATAR AIRWAYS GROUP;8148;0;G;B77L;0;SEQM;MARISCAL SUCRE INTERNATIONAL AIRPORT - QUITO - EQUADOR;20/01/2024 12:45;;MPTO;TOCUMEN INTL - PANAMA - PANAMÁ;20/01/2024 14:35;;CANCELADO;;2024-01-20;;
QTR;QATAR AIRWAYS GROUP;8148;0;G;B77L;0;OTHH;HAMAD INTERNATIONAL AIRPORT - DOHA - QATAR;20/01/2024 05:25;;SEQM;MARISCAL SUCRE INTERNATIONAL AIRPORT - QUITO - EQUADOR;20/01/2024 10:45;;CANCELADO;;2024-01-20;;
QTR;QATAR AIRWAYS GROUP;0773;0;I;B77W;412;OTHH;HAMAD INTERNATIONAL AIRPORT - DOHA - QATAR;21/01/2024 01:35;21/01/2024 01:38;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;21/01/2024 17:10;21/01/2024 17:02;REALIZADO;;2024-01-21;Pontual;Antecipado
QTR;QATAR AIRWAYS GROUP;0774;0;I;B77W;412;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;21/01/2024 01:20;21/01/2024 01:34;OTHH;HAMAD INTERNATIONAL AIRPORT - DOHA - QATAR;21/01/2024 15:45;21/01/2024 15:41;REALIZADO;;2024-01-21;Pontual;Antecipado
QTR;QATAR AIRWAYS GROUP;0779;0;I;B77W;412;OTHH;HAMAD INTERNATIONAL AIRPORT - DOHA - QATAR;21/01/2024 19:25;21/01/2024 20:33;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;22/01/2024 11:00;22/01/2024 11:53;REALIZADO;;2024-01-21;Atraso 60-120;Atraso 30-60
QTR;QATAR AIRWAYS GROUP;0780;0;I;B77W;412;SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO - GUARULHOS - SP - BRASIL;21/01/2024 20:05;21/01/2024 20:18;OTHH;HAMAD INTERNATIONAL AIRPORT - DOHA - QATAR;22/01/2024 10:30;22/01/2024 10:43;REALIZADO;;2024-01-21;Pontual;Pontual
